kabupaten,kecamatan,lat,lon
kab. kodya jakarta pusat,sawah besar,-6.1529577066000005,106.83257065999999
kab. kodya jakarta pusat,cempaka putih,-6.1820350316666675,106.86673936666666
kab. kodya jakarta barat,kalideres,-6.133607630199999,106.70335702
kab. kodya jakarta timur,jatinegara,-6.225536073875,106.8735900125
kab. kodya jakarta barat,tambora,-6.148661478636364,106.8038284818182
kab. kodya jakarta pusat,johar baru,-6.1802019895,106.8542491
kab. kodya jakarta selatan,cilandak,-6.2889744536,106.79421264
kab. kodya jakarta pusat,tanah abang,-6.200213442571429,106.81167362857143
kab. kodya jakarta timur,pasar rebo,-6.325959557999999,106.85598227999999
kab. kodya jakarta barat,pal merah,-6.189001995999999,106.79857664999999
kab. kodya jakarta selatan,pancoran,-6.253195960666666,106.84630496666666
kab. kodya jakarta barat,grogol petamburan,-6.1641177030000005,106.78719424285714
kab. kodya jakarta utara,cilincing,-6.123956195,106.93803867142857
kab. kodya jakarta utara,penjaringan,-6.120832904399999,106.77410332
kab. kodya jakarta utara,tanjung priok,-6.128500507142858,106.87741942857143
kab. kodya jakarta selatan,mampang prapatan,-6.2478229278,106.82312611999998
kab. kodya jakarta utara,koja,-6.121772254,106.90472126666668
kab. kodya jakarta pusat,kemayoran,-6.163640870375,106.85596962500001
kab. kodya jakarta timur,cakung,-6.1898078978571425,106.9394081857143
kab. kodya jakarta utara,pademangan,-6.1332876406666665,106.8393185
kab. kodya jakarta timur,ciracas,-6.329403054,106.87735219999999
kab. kodya jakarta selatan,pasar minggu,-6.290114238428572,106.83132482857143
kab. kodya jakarta selatan,setiabudi,-6.216269741874999,106.8302223
kab. kodya jakarta timur,pulogadung,-6.195944373285713,106.89063084285715
kab. kodya jakarta pusat,senen,-6.183560075166667,106.84545078333333
kab. kodya jakarta pusat,menteng,-6.194293174,106.83625112
kab. kodya jakarta selatan,kebayoran lama,-6.243438973499999,106.77944153333334
kab. kodya jakarta utara,kelapa gading,-6.162517100666666,106.90448263333333
kab. kodya jakarta selatan,pesanggrahan,-6.2469574648,106.75803596
kab. kodya jakarta barat,kebon jeruk,-6.194431726285714,106.76931884285715
kab. kodya jakarta selatan,tebet,-6.226965412571429,106.85209671428571
kab. kodya jakarta timur,cipayung,-6.3243985543750005,106.90243971250001
kab. kodya jakarta selatan,jagakarsa,-6.332687459,106.82313848333332
kab. kodya jakarta selatan,kebayoran baru,-6.2439761401,106.80236966000002
kab. kodya jakarta timur,matraman,-6.2036218685,106.86336191666669
kab. kodya jakarta pusat,gambir,-6.169514884666667,106.81592673333334
kab. kodya jakarta timur,kramatjati,-6.2768589988571435,106.86590575714285
kab. kodya jakarta timur,duren sawit,-6.229038341714285,106.9234829
kab. kodya jakarta timur,makasar,-6.267742671800001,106.88779398
kab. kodya jakarta barat,taman sari,-6.148834801125,106.81814264999998
kab. kodya jakarta barat,cengkareng,-6.151473074666666,106.73744343333334
kab. kodya jakarta barat,kembangan,-6.198578460166666,106.74132306666667
